Date,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
2019-04-01,52.0656,204.4874
2019-04-11,131.0164,243.1019
2019-04-21,238.2459,289.6137
2019-05-01,275.2459,323.8527
2019-05-11,196.2049,359.7716
2019-05-21,177.377,382.1943
2019-06-01,355.4016,364.8877
2019-06-11,470.8852,325.4339
2019-06-21,501.2377,281.4664
2019-07-01,327.8934,232.6503
2019-07-11,305.1148,205.8511
2019-07-21,197,178.7913
2019-08-01,293.1557,157.9027
2019-08-11,229.8115,152.1984
2019-08-21,437.623,158.1306
2019-09-01,387.7623,209.9432
2019-09-11,660.4754,249.3579
2019-09-21,761.8115,302.1975
2019-10-01,846.1803,329.4016
2019-10-11,748.4016,386.7899
2019-10-21,582.877,428.6907
2019-11-01,496.3033,441.1661
2019-11-11,401.6803,406.6123
2019-11-21,377.8033,376.3167
2019-12-01,362,318.7489
2019-12-11,277.7459,262.4014
2019-12-21,190.4344,186.6727
2020-01-01,132.9426,155
2020-01-11,93.2131,125.6929
2020-01-21,46.918,110.2773
2020-02-01,36.2295,107.7235
2020-02-11,30.3607,109.106
2020-02-21,26.0164,101.1907
2020-03-01,42.1311,109.3117
2020-03-11,50.959,128.7587
2020-03-21,67.4672,159.5342
2020-04-01,80.6066,204.4874
2020-04-11,96.4344,243.1019
2020-04-21,170.8607,289.6137
2020-05-01,240.7541,323.8527
2020-05-11,471.1148,359.7716
2020-05-21,462.1803,382.1943
2020-06-01,439.6803,364.8877
2020-06-11,228.4344,325.4339
2020-06-21,253.2869,281.4664
2020-07-01,238.1803,232.6503
2020-07-11,288.7213,205.8511
2020-07-21,248.4016,178.7913
2020-08-01,300.0328,157.9027
2020-08-11,205.5492,152.1984
2020-08-21,169.8279,158.1306
2020-09-01,232.9508,209.9432
2020-09-11,377.4344,249.3579
2020-09-21,520.2541,302.1975
2020-10-01,372.4508,329.4016
2020-10-11,308.4918,386.7899
2020-10-21,165.2377,428.6907
2020-11-01,252.8525,441.1661
2020-11-11,294.5738,406.6123
2020-11-21,294.5656,376.3167
2020-12-01,238.5492,318.7489
2020-12-11,149.5,262.4014
2020-12-21,182.9754,186.6727
2021-01-01,186.4918,155
2021-01-11,203.3689,125.6929
2021-01-21,164.0656,110.2773
2021-02-01,116.4508,107.7235
2021-02-11,61.2049,109.106
2021-02-21,60.5902,101.1907
2021-03-01,89.3607,109.3117
2021-03-11,151.9426,128.7587
2021-03-21,222.959,159.5342
2021-04-01,186.0082,204.4874
2021-04-11,189.959,243.1019
2021-04-21,202.9754,289.6137
2021-05-01,366.9672,323.8527
2021-05-11,489.4836,359.7716
2021-05-21,591.4754,382.1943
2021-06-01,687.3443,364.8877
2021-06-11,586.2541,325.4339
2021-06-21,414.1803,281.4664
2021-07-01,307.1066,232.6503
2021-07-11,249.1475,205.8511
2021-07-21,291.5,178.7913
2021-08-01,172.4016,157.9027
2021-08-11,191.9836,152.1984
2021-08-21,251.1066,158.1306
2021-09-01,296.5082,209.9432
2021-09-11,366.8934,249.3579
2021-09-21,379.2787,302.1975
2021-10-01,459.0738,329.4016
2021-10-11,411.582,386.7899
2021-10-21,490.7049,428.6907
2021-11-01,536.0984,441.1661
2021-11-11,557.0902,406.6123
2021-11-21,483.2623,376.3167
2021-12-01,339.7541,318.7489
2021-12-11,289.1885,262.4014
2021-12-21,136.6967,186.6727
2022-01-01,91.5656,155
2022-01-11,64.0902,125.6929
2022-01-21,61.6393,110.2773
2022-02-01,43.3197,107.7235
2022-02-11,85.1066,109.106
2022-02-21,122.6311,101.1907
2022-03-01,143.2213,109.3117
2022-03-11,119.0574,128.7587
2022-03-21,130.0574,159.5342
2022-04-01,291.2213,204.4874
2022-04-11,327.6885,243.1019
2022-04-21,429.9672,289.6137
2022-05-01,342.918,323.8527
2022-05-11,440.4672,359.7716
2022-05-21,503.4016,382.1943
2022-06-01,439.9344,364.8877
2022-06-11,385.7377,325.4339
2022-06-21,205.9098,281.4664
2022-07-01,197.3279,232.6503
2022-07-11,121.1557,205.8511
2022-07-21,225.7623,178.7913
2022-08-01,272.4918,157.9027
2022-08-11,243.8607,152.1984
2022-08-21,292.3934,158.1306
2022-09-01,367.7459,209.9432
2022-09-11,365.9016,249.3579
2022-09-21,209.7049,302.1975
2022-10-01,92.877,329.4016
2022-10-11,370.0082,386.7899
2022-10-21,573.6311,428.6907
2022-11-01,676.4508,441.1661
2022-11-11,505.5574,406.6123
2022-11-21,308.377,376.3167
2022-12-01,282.3934,318.7489
2022-12-11,221.6066,262.4014
2022-12-21,260.0574,186.6727
2023-01-01,174.3934,155
2023-01-11,143.6967,125.6929
